Wavelength / nm,Absorption in toluene
507.5,0.02459
508,0.02423
508.5,0.02428
509,0.02459
509.5,0.02482
510,0.02473
510.5,0.02416
511,0.02369
511.5,0.02349
512,0.02369
512.5,0.02401
513,0.02416
513.5,0.0241
514,0.02374
514.5,0.02342
515,0.02331
515.5,0.02335
516,0.02335
516.5,0.02328
517,0.02299
517.5,0.02277
518,0.02277
518.5,0.0229
519,0.0231
519.5,0.02331
520,0.02344
520.5,0.02328
521,0.02308
521.5,0.02292
522,0.02292
522.5,0.02317
523,0.02335
523.5,0.02335
524,0.02315
524.5,0.02292
525,0.02297
525.5,0.02317
526,0.02342
526.5,0.02369
527,0.02365
527.5,0.02365
528,0.02387
528.5,0.02396
529,0.0241
529.5,0.02428
530,0.02423
530.5,0.02437
531,0.02466
531.5,0.02486
532,0.02502
532.5,0.02513
533,0.02511
533.5,0.02513
534,0.02532
534.5,0.02552
535,0.02568
535.5,0.02613
536,0.02604
536.5,0.02611
537,0.02638
537.5,0.02626
538,0.02671
538.5,0.02692
539,0.02683
539.5,0.02662
540,0.02631
540.5,0.02624
541,0.02651
541.5,0.02692
542,0.0271
542.5,0.0271
543,0.02696
543.5,0.02662
544,0.02658
544.5,0.02671
545,0.02671
545.5,0.02669
546,0.02644
546.5,0.02599
547,0.02561
547.5,0.02541
548,0.02532
548.5,0.02541
549,0.02532
549.5,0.025
550,0.02455
550.5,0.02396
551,0.02349
551.5,0.02315
552,0.02299
552.5,0.02283
553,0.02259
553.5,0.02231
554,0.02177
554.5,0.02125
555,0.02089
555.5,0.02037
556,0.02004
556.5,0.01963
557,0.01893
557.5,0.01819
558,0.01753
558.5,0.01688
559,0.01629
559.5,0.01595
560,0.01546
560.5,0.01491
561,0.01464
561.5,0.01428
562,0.01379
562.5,0.01342
563,0.01302
563.5,0.01254
564,0.01218
564.5,0.01189
565,0.01146
565.5,0.01106
566,0.01065
566.5,0.01013
567,0.00963
567.5,0.00934
568,0.00905
568.5,0.00875
569,0.00837
569.5,0.0081
570,0.00783
570.5,0.00772
571,0.00774
571.5,0.0076
572,0.00754
572.5,0.00738
573,0.00699
573.5,0.00666
574,0.00627
574.5,0.006
575,0.00582
575.5,0.00575
576,0.00569
576.5,0.00562
577,0.00562
577.5,0.00557
578,0.00551
578.5,0.00544
579,0.00517
579.5,0.00499
580,0.00476
580.5,0.00465
581,0.00476
581.5,0.00492
582,0.0051
582.5,0.0051
583,0.00496
583.5,0.00478
584,0.00458
584.5,0.00465
585,0.00456
585.5,0.00449
586,0.00444
586.5,0.00433
587,0.00444
587.5,0.00456
588,0.00469
588.5,0.00469
589,0.00465
589.5,0.00458
590,0.00431
590.5,0.0042
591,0.00413
591.5,0.00404
592,0.00426
592.5,0.00438
593,0.00444
593.5,0.00463
594,0.00465
594.5,0.00465
595,0.00465
595.5,0.00458
596,0.00444
596.5,0.00426
597,0.00424
597.5,0.00411
598,0.00411
598.5,0.0042
599,0.00424
599.5,0.00433
600,0.0044
600.5,0.00451
601,0.00458
601.5,0.00465
602,0.00469
602.5,0.00456
603,0.00444
603.5,0.0044
604,0.0044
604.5,0.0044
605,0.00463
605.5,0.00478
606,0.0049
606.5,0.00499
607,0.0049
607.5,0.00463
608,0.00444
608.5,0.0044
609,0.00438
609.5,0.00438
610,0.0044
610.5,0.0044
611,0.00433
611.5,0.00449
612,0.00458
612.5,0.00463
613,0.00451
613.5,0.0044
614,0.00438
614.5,0.00438
615,0.00451
615.5,0.00456
616,0.00438
616.5,0.0044
617,0.00433
617.5,0.00426
618,0.00433
618.5,0.0042
619,0.00399
619.5,0.00384
620,0.0039
620.5,0.00384
621,0.00393
621.5,0.00393
622,0.00379
622.5,0.00372
623,0.00379
623.5,0.00404
624,0.00431
624.5,0.00456
625,0.00458
625.5,0.00444
626,0.00433
626.5,0.00433
627,0.00426
627.5,0.00431
628,0.00424
628.5,0.00406
629,0.00406
629.5,0.00417
630,0.00426
630.5,0.00449
631,0.00458
631.5,0.00469
632,0.00472
632.5,0.00478
633,0.00496
633.5,0.00485
634,0.00478
634.5,0.00463
635,0.00431
635.5,0.00426
636,0.00431
636.5,0.0042
637,0.00413
637.5,0.00397
638,0.00386
638.5,0.00406
639,0.00426
639.5,0.00451
640,0.0044
640.5,0.0044
641,0.00444
641.5,0.00451
642,0.00472
642.5,0.00456
643,0.00449
643.5,0.00431
644,0.00424
644.5,0.00426
645,0.00433
645.5,0.00426
646,0.00411
646.5,0.00404
647,0.00379
647.5,0.00379
648,0.00399
648.5,0.00413
649,0.00424
649.5,0.00431
650,0.00424
650.5,0.0042
651,0.00438
651.5,0.00444
652,0.00451
652.5,0.00449
653,0.00431
653.5,0.00393
654,0.00379
654.5,0.00393
655,0.00397
655.5,0.00426
656,0.00449
656.5,0.00431
657,0.00424
657.5,0.00411
658,0.00386
658.5,0.00406
659,0.0042
659.5,0.00433
660,0.00431
660.5,0.00426
661,0.00433
661.5,0.00426
662,0.00456
662.5,0.00469
663,0.00476
663.5,0.00483
664,0.00476
664.5,0.00456
665,0.00438
665.5,0.00426
666,0.00431
666.5,0.00431
667,0.00431
667.5,0.00413
668,0.00397
668.5,0.00397
669,0.00404
669.5,0.00417
670,0.00426
670.5,0.00404
671,0.00372
671.5,0.00359
672,0.00354
672.5,0.0039
673,0.00431
673.5,0.00444
674,0.00444
674.5,0.00426
675,0.00411
675.5,0.00417
676,0.00431
676.5,0.00417
677,0.00406
677.5,0.00399
678,0.00404
678.5,0.0042
679,0.00444
679.5,0.00444
680,0.00426
680.5,0.00413
681,0.0039
681.5,0.00384
682,0.00406
682.5,0.00433
683,0.00444
683.5,0.0044
684,0.00406
684.5,0.00366
685,0.00345
685.5,0.00345
686,0.00379
686.5,0.00417
687,0.00458
687.5,0.00469
688,0.00463
688.5,0.00433
689,0.00411
689.5,0.00417
690,0.00413
690.5,0.00433
691,0.00451
691.5,0.0044
692,0.00426
692.5,0.00417
693,0.00399
693.5,0.00393
694,0.00404
694.5,0.0042
695,0.00449
695.5,0.00451
696,0.00438
696.5,0.00413
697,0.0039
697.5,0.00397
698,0.00399
698.5,0.00406
699,0.00417
699.5,0.00433
700,0.00463
