Wavelength / nm,Cyclohexane,p-Xylene,Toluene,Diisopropyl ether,Chloroform,Diethyl ether,Tetrahydrofuran
372.5,0.97457,0.91353,0.88998,0.99096,0.9428,0.9922,0.95305
373,0.9843,0.92737,0.90705,0.99707,0.95659,0.99666,0.96429
373.5,0.99138,0.94168,0.92394,1,0.96832,0.99871,0.97499
374,0.99574,0.9549,0.93919,0.99974,0.97746,0.99983,0.98525
374.5,0.99844,0.96629,0.95246,0.99694,0.98492,1,0.99315
375,1,0.97523,0.96307,0.9934,0.9918,0.99795,0.99792
375.5,0.99962,0.98199,0.97286,0.98904,0.99696,0.99332,1
376,0.99665,0.98797,0.98159,0.98224,0.99987,0.9851,0.99843
376.5,0.9905,0.99318,0.98938,0.97244,1,0.9741,0.99557
377,0.98115,0.99756,0.99609,0.95933,0.99687,0.96249,0.9921
377.5,0.96954,1,0.99967,0.94326,0.99086,0.94992,0.98692
378,0.95645,0.99942,1,0.92644,0.98337,0.93567,0.97983
378.5,0.94231,0.99569,0.99714,0.90965,0.97487,0.91973,0.97005
379,0.92729,0.98932,0.99116,0.89244,0.96473,0.9011,0.95738
379.5,0.91103,0.98244,0.98366,0.8752,0.9533,0.88149,0.94262
380,0.893,0.97472,0.97529,0.85659,0.93944,0.86269,0.92681
380.5,0.87327,0.96564,0.96579,0.83603,0.92284,0.84428,0.9107
381,0.85293,0.95474,0.95554,0.81508,0.9054,0.82652,0.89441
381.5,0.83243,0.94129,0.94332,0.79432,0.88735,0.80952,0.87836
382,0.81238,0.92605,0.92836,0.77486,0.86917,0.79176,0.86147
382.5,0.79344,0.91067,0.91147,0.75736,0.85198,0.77319,0.84392
383,0.77392,0.89491,0.89335,0.73966,0.83335,0.75372,0.82538
383.5,0.7541,0.87886,0.8753,0.72144,0.81387,0.73324,0.80613
384,0.73355,0.86223,0.8574,0.70264,0.79337,0.71376,0.78705
384.5,0.71305,0.84428,0.83899,0.68357,0.77247,0.69626,0.76876
385,0.69421,0.82546,0.81942,0.6662,0.75322,0.68147,0.75158
385.5,0.67683,0.80555,0.7987,0.65023,0.73475,0.66784,0.73475
386,0.66086,0.7867,0.77771,0.63646,0.71831,0.65476,0.71843
386.5,0.6459,0.76852,0.75771,0.62342,0.70158,0.64132,0.70174
387,0.63081,0.75121,0.73861,0.61031,0.68437,0.62729,0.68501
387.5,0.61561,0.73548,0.72104,0.59759,0.66776,0.61414,0.66889
388,0.6015,0.71879,0.70419,0.585,0.65136,0.60173,0.65397
388.5,0.58883,0.70193,0.68719,0.57377,0.63702,0.59093,0.64092
389,0.57795,0.68553,0.67052,0.56427,0.62429,0.58187,0.62934
389.5,0.56886,0.66957,0.65371,0.55624,0.61286,0.57373,0.61891
390,0.56019,0.65529,0.63787,0.54849,0.60191,0.56641,0.60869
390.5,0.55157,0.64278,0.62377,0.54081,0.59093,0.55934,0.5983
391,0.54278,0.63091,0.61113,0.53327,0.57985,0.55289,0.58811
391.5,0.53499,0.61888,0.59938,0.52627,0.56884,0.54711,0.57843
392,0.52855,0.60685,0.58844,0.52071,0.55909,0.54217,0.56995
392.5,0.52332,0.5952,0.57771,0.51632,0.55062,0.53743,0.56303
393,0.51914,0.58475,0.5667,0.5127,0.54407,0.53238,0.557
393.5,0.51488,0.57584,0.5567,0.50867,0.53851,0.52741,0.55135
394,0.51038,0.56821,0.54796,0.50431,0.5328,0.52292,0.54576
394.5,0.50612,0.5611,0.54035,0.50044,0.52737,0.51967,0.53969
395,0.50223,0.55364,0.53343,0.49702,0.52165,0.51768,0.53387
395.5,0.4995,0.54608,0.52618,0.49478,0.51668,0.51644,0.5291
396,0.49756,0.53842,0.51883,0.49318,0.51313,0.51523,0.52514
396.5,0.49621,0.53199,0.51198,0.49156,0.51006,0.51341,0.52208
397,0.49494,0.52668,0.50632,0.49042,0.50712,0.51131,0.51956
397.5,0.49288,0.5224,0.50197,0.48892,0.5036,0.50909,0.51625
398,0.49083,0.51874,0.49803,0.48759,0.50002,0.50741,0.51308
398.5,0.48903,0.51443,0.49379,0.48694,0.49666,0.50685,0.51012
399,0.48765,0.50986,0.48958,0.48645,0.4943,0.50648,0.50794
399.5,0.48718,0.5052,0.48589,0.48619,0.49307,0.50612,0.50647
400,0.4873,0.5014,0.48295,0.48619,0.49194,0.50575,0.50487
400.5,0.48709,0.4985,0.48074,0.48554,0.49091,0.50511,0.50341
401,0.48639,0.49651,0.47831,0.48466,0.48971,0.50502,0.50123
401.5,0.48562,0.49503,0.47559,0.48417,0.48813,0.50539,0.49976
402,0.48474,0.49291,0.47284,0.48427,0.48681,0.50609,0.49949
402.5,0.48468,0.49062,0.47099,0.48482,0.48571,0.50659,0.49894
403,0.48521,0.48782,0.47016,0.48554,0.48519,0.5071,0.49894
403.5,0.48586,0.48554,0.46983,0.48619,0.48445,0.50732,0.49857
404,0.48656,0.484,0.46958,0.48606,0.48371,0.50707,0.49751
404.5,0.48671,0.48326,0.46827,0.48599,0.48335,0.50707,0.4971
405,0.48665,0.48345,0.46664,0.48704,0.48325,0.50721,0.49741
405.5,0.48674,0.483,0.46537,0.48798,0.48374,0.50774,0.49809
406,0.48742,0.48232,0.46487,0.48948,0.48455,0.50934,0.49877
406.5,0.48818,0.48142,0.46498,0.49097,0.48468,0.511,0.49918
407,0.48947,0.4803,0.46548,0.4911,0.48409,0.51279,0.49898
