,3NCz PL,,3PCz PL,
550,0.0184755398909004,550,0.0259998371771722,
551,0.0161328990958223,551,0.0239175970683552,
552,0.01642675666924,552,0.0225737359142191,
553,0.0171026388735677,553,0.0247023753211968,
554,0.017643285924228,554,0.0242215156537014,
555,0.0177768575485087,555,0.0232515510262952,
556,0.0176541833760924,556,0.02287738833574,
557,0.0180601912969831,557,0.0225896710267187,
558,0.0183338730166633,558,0.0227386070455062,
559,0.0183214187859611,559,0.0231572943151045,
560,0.0174916556654291,560,0.0231463584535851,
561,0.0172749520512113,561,0.0223243461960467,
562,0.0161210675766553,562,0.0215286320816857,
563,0.0156272573293143,563,0.0210104805477922,
564,0.0144764864124338,564,0.0202587702571639,
565,0.0140517971454898,565,0.0202587702571639,
566,0.0132678033227883,566,0.0202363777788147,
567,0.0126933519316507,567,0.0198473735619118,
568,0.0116057862355837,568,0.0196476639003559,
569,0.0108370488454923,569,0.0187134288734163,
570,0.0110008219792259,570,0.0180557149163235,
571,0.0111428002092306,571,0.0176927484649428,
572,0.0111440456323008,572,0.016741849268069,
573,0.0109650160659571,573,0.016267441180253,
574,0.0113022143622184,574,0.0157901689382296,
575,0.0117655117443391,575,0.0163721129976526,
576,0.0118517572919516,576,0.0161325655548476,
577,0.0120058783968909,577,0.0152816513775794,
578,0.0124445786733749,578,0.0154988063420352,
579,0.0135819612922505,579,0.0148330206776304,
580,0.0142445263656059,580,0.0149884661377985,
581,0.0140583356166085,581,0.01501945107877,
582,0.0143986474705453,582,0.0141677557685361,
583,0.0144702592970827,583,0.0144140730303769,
584,0.0151150770916875,584,0.0139836687662935,
585,0.0144360101626518,585,0.0141534349974988,
586,0.0148429521508452,586,0.0139430498520788,
587,0.0142697461827778,587,0.0141438010242556,
588,0.01481306199716,588,0.0147960470505888,
589,0.0145907539791262,589,0.0141037028653513,
590,0.0135884997633691,590,0.0147733941945844,
591,0.0131445064388368,591,0.0143950654615456,
592,0.0126525643261011,592,0.0143367408667757,
593,0.013117107131292,593,0.0147650621096173,
594,0.0131367225446479,594,0.0151946852407349,
595,0.013203041323137,595,0.0165905698503846,
596,0.0132126933519312,596,0.0173693594171561,
597,0.0130265026029337,597,0.0178364769306258,
598,0.0138852218098483,598,0.018465288967989,
599,0.014308042942187,599,0.0189193875986976,
600,0.0146387027673296,600,0.0202048720825328,
601,0.0151555533414696,601,0.0210159484785519,
602,0.015241176177547,602,0.0225813389417516,
603,0.0156406456273191,603,0.0239222838661492,
604,0.015287256831145,604,0.0254921007494877,
605,0.0162269285376238,605,0.0271923668380928,
606,0.0162203900665051,606,0.0278792430925707,
607,0.0164791267093427,607,0.0290173538235497,
608,0.0174468204349013,608,0.0312907111313003,
609,0.0176569855780004,609,0.0327022184002633,
610,0.0180620594315884,610,0.0346269300276705,
611,0.0186906867262805,611,0.0366328794835072,
612,0.0199258350561681,612,0.0382422737704396,
613,0.0217310757964476,613,0.0407882464832085,
614,0.0225901063591297,614,0.0429308942080373,
615,0.0246939372804937,615,0.0452180515315147,
616,0.0257011731885317,616,0.04719900473245,
617,0.0270375121428745,617,0.0503740498602373,
618,0.0291917826985822,618,0.0541974353495295,
619,0.0306800632674915,619,0.0556943464894055,
620,0.0331064587640417,620,0.0593664525610132,
621,0.0346654170921857,621,0.0627625583180847,
622,0.0373243953470989,622,0.0666690042793929,
623,0.038610917378633,623,0.0711133904763915,
624,0.0400207362941186,624,0.0751469007334485,
625,0.043105649239046,625,0.079628520935144,
626,0.0455345355817366,626,0.083582616007358,
627,0.0485932946421895,627,0.0887357501818732,
628,0.0511501482053449,628,0.0935045669372794,
629,0.053349565347348,629,0.0996783815202681,
630,0.0556053378832785,630,0.106309679643483,
631,0.0575650110842648,631,0.113264627192141,
632,0.0594923032854256,632,0.119756362892156,
633,0.0612906941988189,633,0.126857903060704,
634,0.0634094701970255,634,0.134478896651421,
635,0.0673714723391531,635,0.143045061130597,
636,0.0693423543477715,636,0.151711731384689,
637,0.0713344085485835,637,0.16170242201559,
638,0.0742153834657629,638,0.17127833104172,
639,0.0772968714972472,639,0.181963188501444,
640,0.0818903031359749,640,0.190516334097859,
641,0.0864952549381021,641,0.202219788944815,
642,0.092269659003163,642,0.212600264925584,
643,0.0975963334744809,643,0.22368948888387,
644,0.103675866191745,644,0.235273430387079,
645,0.110731187884524,645,0.246879243613326,
646,0.116877662091812,646,0.258678257059749,
647,0.126076356888435,647,0.271134463707954,
648,0.134810820235634,648,0.283145945321039,
649,0.143192517498194,649,0.297192017932035,
650,0.152137457344259,650,0.310812893832052,
651,0.161166151891797,651,0.325005298685283,
652,0.17144058086532,652,0.340229319808507,
653,0.181630943781602,653,0.355090374480351,
654,0.193280942536179,654,0.371347834517154,
655,0.20544218746108,655,0.388372106748589,
656,0.218581712207637,656,0.405696334038841,
657,0.233114865369766,657,0.423714728157916,
658,0.247230801803372,658,0.443121195556985,
659,0.262182728472862,659,0.461959518912357,
660,0.277493336986574,660,0.480610370355969,
661,0.295459498841756,661,0.499324753947455,
662,0.312564139288116,662,0.52010549461079,
663,0.331062408150048,663,0.538836281994555,
664,0.349579981069569,664,0.560280985678708,
665,0.368673873514833,665,0.58207563693148,
666,0.388336924303186,666,0.600570261781958,
667,0.407385981517921,667,0.61958251741102,
668,0.426445002117219,668,0.639975034990417,
669,0.445820360176351,669,0.659596313955044,
670,0.465165205370264,670,0.681363625554018,
671,0.485793147682267,671,0.702759117861334,
672,0.507055010337011,672,0.723372175314705,
673,0.52696932522978,673,0.740354005988339,
674,0.546087192069146,674,0.75937823898954,
