Voltage,Current density,External Quantum Efficiency,EL Intensity/Detector output,Photons/s/sr,Radiance
V,mA/cm\+(2),%,V,,W Sr\+(-1)m\+(-2)\+()\+()
6.7,3.464817,6.40730501474926,0.5381698,19847596607669.6,1.2463048430284
6.8,3.720655,6.18108679941003,0.5575039,20560631268436.6,1.29107895691873
6.9,3.959473,5.9898947640118,0.574937,21203565634218.3,1.33145121103404
7,4.197901,5.80363237463127,0.5906032,21781327433628.3,1.36773103588917
7.1,4.471692,5.57591762536873,0.6044383,22291567846607.7,1.39977094028542
7.2,4.697497,5.41663215339233,0.6168216,22748255162241.9,1.42844804535136
7.3,4.961434,5.21453104719764,0.6271712,23129952802359.9,1.45241626814705
7.4,5.223505,5.02114837758112,0.6358121,23448625368731.6,1.4724269107785
--,--,--,--,23722028023598.8,1.48959488630689
--,--,--,--,23941455752212.4,1.50337357428971
--,--,--,--,24107733038348.1,1.51381474714771
--,--,--,--,24230082595870.2,1.52149753358762
--,--,--,--,24315042772861.4,1.52683250094622
,,,,24378614306784.7,1.53082439538933
,,,,24413721976401.2,1.53302893730619
,,,,24431640117994.1,1.53415408445054
,,,,24435551622418.9,1.53439970244674
,,,,24430815634218.3,1.53410231202978
,,,,24410615781710.9,1.53283388772098
,,,,24386629056047.2,1.53132767147958
,,,,24326901917404.1,1.52757718099842
,,,,24300901917404.1,1.52594454372957
,,,,24273741887905.6,1.52423906386871
,,,,24247185840708,1.52257151031609
,,,,24220840707964.6,1.52091720087111
,,,,24195367994100.3,1.51931767387136
,,,,24178533185840.7,1.51826055327988
,,,,24160960176991.1,1.51715707831166
,,,,24143157079646,1.51603915522602
,,,,24120109882005.9,1.51459193546411
,,,,24104032448377.6,1.51358237325915
,,,,24085625368731.6,1.51242652386527
,,,,24068004424778.8,1.51132003887259
,,,,24056864306784.7,1.51062050918734
,,,,24043902654867.3,1.50980659857249
,,,,24026751474926.3,1.50872961181955
,,,,24007893805309.7,1.50754546819572
,,,,23989889380531,1.50641490300734
,,,,23969555309734.5,1.50513805063004
,,,,23947725663716.8,1.50376728548949
,,,,23917881268436.6,1.5018932442587
,,,,23879964601769.9,1.49951231490829
,,,,23845374631268.4,1.49734028125564
,,,,23818540560472,1.49565526956113
