   8.0000000e+00   7.0000000e-01
   1.0000000e+01   5.7304608e-01
   1.2000000e+01   5.1770317e-01
   1.4000000e+01   4.9055743e-01
   1.6000000e+01   4.3820540e-01
   1.8000000e+01   3.5344654e-01
   2.0000000e+01   3.3514758e-01
   2.2000000e+01   2.9636434e-01
   2.4000000e+01   2.6720188e-01
   2.6000000e+01   2.3612375e-01
   2.8000000e+01   2.0456141e-01
   3.0000000e+01   1.8442623e-01
   3.2000000e+01   1.6995679e-01
   3.4000000e+01   1.4403993e-01
   3.6000000e+01   1.2171883e-01
   3.8000000e+01   1.0573080e-01
   4.0000000e+01   1.0474821e-01
   4.2000000e+01   9.5623051e-02
   4.4000000e+01   8.1469053e-02
   4.6000000e+01   7.0797674e-02
   4.8000000e+01   6.5348744e-02
   5.1989000e+01   5.0268018e-02
   5.6296000e+01   3.7665837e-02
   6.0946000e+01   2.9217010e-02
   6.5968000e+01   2.1635235e-02
   7.1390000e+01   1.4903638e-02
   7.7245000e+01   1.1241076e-02
   8.3566000e+01   7.2951118e-03
   9.0392000e+01   4.6548917e-03
   9.7763000e+01   2.9604656e-03
   1.0572000e+02   1.8463739e-03
   1.1432000e+02   1.1078079e-03
   1.2359000e+02   6.5040914e-04
   1.3361000e+02   3.3311207e-04
   1.4443000e+02   1.5111126e-04
