"Solvent polarizability, f",TTM Stokes shift / cm-1,TTM-3NCz Stokes shift / cm-1
-2.41E-04,788.02206,1899.38814
0.01398,748.36174,1979.03192
0.00443,813.5002,2048.86421
0.14285,850.674,2173.91304
0.16461,782.33998,2236.31493
0.14818,816.44383,2257.10036
0.20963,878.65455,2609.78803
